char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
主	5	95	N4	grade 3	dot 丶	丶 王	lord, chief, master, main thing, principal	ぬし, おも, あるじ	シュ, ス, シュウ	{主:ぬし} head (of a household, etc.), leader, master, owner, proprietor, proprietress, subject (of a rumour, etc.), doer (of a deed), guardian spirit (e.g. long-resident beast, usu. with mystical powers), long-time resident (or employee, etc.), husband, you<br/>{馬主:うまぬし} owner of a horse (esp. racehorse), registered owner (of a racehorse)<br/>{船主:せんしゅ} shipowner<br/>{主:おも} chief, main, principal, important, main secondary or supporting role (in kyogen)<br/>{主に:おもに} mainly, primarily<br/>{主:あるじ} head (of a household), proprietor (of a store), proprietress, landlord, landlady, master (of a servant), entertaining someone as one's guest<br/>{女主:おんなあるじ} female owner, proprietress, landlady<br/>{坊の主:ぼうのあるじ} master of the priests quarters	{主:シュ} (one's) master, Lord (Christian ref. to Jesus or God), the main thing, the majority, the primary concern<br/>{主人:シュジン} head (of a household), proprietor (of a store), proprietress, landlord, landlady, one's husband, (one's) employer, (one's) master, host, hostess<br/>{自主:ジシュ} independence, autonomy, self-reliance<br/>{盟主:メイシュ} leader (of an alliance), leading power<br/>{主:ス} honorific (or familiar) suffix used after a name<br/>{法主:ホッス} high priest<br/>{座主:ザス} temple's head priest<br/>{主:シュ} (one's) master, Lord (Christian ref. to Jesus or God), the main thing, the majority, the primary concern<br/>{主従:シュウジュウ} master and servant, lord and retainer, employer and employee	{主:しゅ}{人:じん}<br/>{主:おも}<br/>{主:ぬし}<br/>{主:しゅ}<br/>{主:あるじ}<br/>{主:す}<br/>{主:にし}<br/>{主:しゅ}{食:しょく}<br/>{主:しゅ}{人:じん}{公:こう}<br/>{主:しゅ}{体:たい}<br/>{主:しゅ}{権:けん}<br/>{主:しゅ}{語:ご}<br/>{主:しゅ}{張:ちょう}<br/>{主:しゅ}{要:よう}<br/>{主:しゅ}{義:ぎ}<br/>{主:しゅ}{婦:ふ}<br/>{主:しゅ}{役:やく}<br/>{主:しゅ}{題:だい}<br/>{主:しゅ}{任:にん}
題	18	96	N4	grade 3	leaf 頁	ハ 日 疋 目 貝 頁	topic, subject		ダイ		{題:ダイ} title, subject, theme, topic, problem (on a test), question, counter for questions (on a test)<br/>{題材:ダイザイ} subject, theme<br/>{表題:ヒョウダイ} title, index, heading, headline, caption<br/>{命題:メイダイ} proposition, thesis, notion, theory, problem, issue, challenge	{題:だい}<br/>{題:だい}{名:めい}<br/>{題:だい}{材:ざい}<br/>{題:だい}{目:もく}<br/>{題:だい}する<br/>{題:だい}{字:じ}<br/>{題:だい}{辞:じ}<br/>{題:だい}{号:ごう}<br/>{題:だい}{意:い}<br/>{題:だい}{画:が}<br/>{題:だい}{簽:せん}<br/>{題:だい}{言:げん}<br/>{題:だい}{詠:えい}<br/>{題:だい}{名:めい}なし<br/>{題:だい}を{付:つ}ける<br/>{題名のない子守唄:}
下	3	97	N5	grade 1	one 一	一 ｜ 卜	below, down, descend, give, low, inferior	した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる	カ, ゲ	{下:した} below, down, under, younger (e.g. daughter), bottom, beneath, underneath, just after, right after, inferiority, one's inferior (i.e. one's junior), trade-in, preliminary, preparatory<br/>{下請け:したうけ} subcontract, subcontractor (person or company)<br/>{幕下:まくした} third highest division, wrestlers of the third highest division<br/>{上下:うえした} top and bottom, up and down, high and low, above and below, upper and lower ends, upside-down<br/>{下:しも} lower reaches (of a river), bottom, lower part, lower half (of the body, esp. the privates), feces (faeces), urine, menses, end, far from the imperial palace (i.e. far from Kyoto, esp. of western Japan), dirty (e.g. dirty jokes, etc.)<br/>{下期:しもき} second half of the (fiscal) year<br/>{風下:かざしも} leeward, lee, downwind<br/>{裃:かみしも} samurai costume, old ceremonial costume, top and bottom, up and down, high and low, above and below, upper and lower ends<br/>{下:もと} under (guidance, supervision, rules, the law, etc.), under (a flag, the sun, etc.), beneath, with (e.g. one blow), on (the promise, condition, assumption, etc. that ...), in (e.g. the name of), (somebody's) side, (somebody's) location<br/>{山元:やまもと} foot of a mountain, base of a mountain, mine, colliery, owner of a mountain, operator of a mine<br/>{お膝元:おひざもと} beside a nobleman, close aid (of a nobleman, etc.), place where a high ranking person resides, one's own city (of a shogun, lord, etc.), Imperial capital, Imperial court, (shogun's) headquarters, place under one's direct control, one's own turf, one's own backyard<br/>{下げる:さげる} to hang, to suspend, to wear (e.g. decoration), to lower, to reduce, to bring down, to demote, to move back, to pull back, to clear (plates), to remove (food, etc. from table or altar)<br/>{下がる:さがる} to come down, to go down, to fall, to drop, to sink, to get lower, to hang, to dangle, to move back, to step back, to withdraw, to retire, to deteriorate, to fall off, to be downgraded, to get closer to the present day, to go south<br/>{下る:くだる} to descend, to go down, to come down, to be handed down (of an order, judgment, etc.), to pass (of time), to surrender, to capitulate, to be less than, to be inferior to, to have the runs, to have diarrhea, to pass (in stool), to be discharged from the body, to depreciate oneself, to be humble<br/>{下り:くだり} down-train, train heading toward the ending point of its route, down-slope, downward going, downbound (esp. away from Tokyo)<br/>{下り坂:くだりざか} downhill, downward slope, descent, decline, waning, ebb, (going) downhill<br/>{下す:くだす} to make a decision, to draw a conclusion, to give a judgement, to hand down a verdict, to pass a sentence, to give an order, to let go down, to lower, to do oneself, to do by oneself, to beat, to defeat, to have loose bowels, to have diarrhea, to pass (in stool), to discharge from the body, to do in one go, to do to the end without stopping<br/>{下さる:くださる} to give, to confer, to bestow, to kindly do for one, to oblige, to favour, to favor<br/>{下ろす:おろす} to take down, to bring down, to lower (a hand, flag, shutter, etc.), to drop (an anchor, curtain, etc.), to let down (hair), to launch (a boat), to drop off (a passenger), to let off, to unload (goods, a truck, etc.), to offload, to discharge, to withdraw (money), to use for the first time, to wear for the first time, to cut off, to fillet (fish), to grate (e.g. radish), to prune (branches), to remove (someone from a position), to oust, to drop, to clear (the table), to remove (offerings from an alter), to pass down (e.g. old clothes), to hand down, to expel from the body (e.g. worms), to abort (a fetus), to invoke (a spirit), to call down<br/>{降りる:おりる} to descend (e.g. a mountain), to go down, to come down, to alight (e.g. from bus), to get off, to disembark, to dismount, to step down, to retire, to give up, to quit, to be granted, to be issued, to be given, to form (of frost, dew, mist, etc.), to be passed (from the body; e.g. of a roundworm)	{下:カ} under (being in said condition or environment)<br/>{下位:カイ} low rank, lower position, subordinate position, lower order (e.g. byte)<br/>{陛下:ヘイカ} Your Majesty, His Majesty, Her Majesty<br/>{最下:サイカ} the lowest, the worst<br/>{下:ゲ} lowness (of degree, value, etc.), inferiority, second volume (of two), third volume (of three)<br/>{下山:ゲザン} descending (mountain)<br/>{高下:コウゲ} rise and fall (e.g. prices), fluctuation, difference (rank, grade, quality, etc.), variation<br/>{帯下:タイゲ} leukorrhoea, leucorrhoea, leukorrhea, leucorrhea, mucous discharge from female genitals	{下:した}<br/>{下:もと}<br/>{下:げ}<br/>{下:しも}<br/>{下:か}<br/>{下:くだ}さい<br/>{下手:へた}<br/>{下:げ}{駄:た}<br/>{下:さ}がる<br/>{下:さ}げる<br/>{下:げ}{宿:しゅく}<br/>{下:した}{着:ぎ}<br/>{下:げ}{痢:り}<br/>{下:くだ}さる<br/>{下:くだ}り<br/>{下:した}{町:まち}<br/>{下:お}ろす<br/>{下:くだ}る<br/>{下:げ}{車:しゃ}
首	9	98	N3	grade 2	head 首	并 目 自 首	neck, counter for songs and poems	くび	シュ	{首:くび} neck, head, dismissal, discharge, firing (from a job)<br/>{首飾り:くびかざり} necklace, choker<br/>{縛り首:しばりくび} (death by) hanging<br/>{猪首:いくび} bull neck	{首:シュ} counter for songs and poems<br/>{首級:シュキュウ} decapitated head of an enemy<br/>{元首:ゲンシュ} sovereign, ruler, head of state<br/>{百人一首:ヒャクニンイッシュ} 100 poems by 100 famous poets, (playing) cards of one hundred famous poems	{首:くび}<br/>{首:しゅ}{級:きゅう}<br/>{首:かしら}<br/>{首:おびと}<br/>{首:しゅ}<br/>{首:しゅ}{相:しょう}<br/>{首:しゅ}{都:と}<br/>{首:しゅ}{脳:のう}<br/>{首:くび}{輪:わ}<br/>{首:くび}{飾:かざ}り<br/>{首:しゅ}{都:と}{圏:けん}<br/>{首:しゅ}{位:い}<br/>{首:しゅ}{尾:び}<br/>{首:くび}{筋:すじ}
意	13	99	N4	grade 3	heart 心 (忄, ⺗)	心 日 立 音	idea, mind, heart, taste, thought, desire, care, liking		イ		{意:イ} feelings, thoughts, meaning<br/>{意外:イガイ} unexpected, surprising<br/>{賛意:サンイ} approval, assent<br/>{総意:ソウイ} consensus, collective will, collective opinion	{意:い}<br/>{意:い}{味:み}<br/>{意:い}{志:し}<br/>{意:い}{識:しき}<br/>{意:い}{見:けん}<br/>{意:い}{思:し}<br/>{意:い}{外:がい}<br/>{意:い}{義:ぎ}<br/>{意:い}{地:じ}{悪:わる}<br/>{意:い}{図:と}<br/>{意:い}{向:こう}<br/>{意:い}{地:じ}<br/>{意:い}{欲:よく}<br/>{意:い}{気:き}{込:ご}む<br/>{意:い}{思:し}{決:けっ}{定:てい}<br/>{意:い}{気:き}<br/>{意:い}{図:と}{的:てき}<br/>{意:い}{識:しき}{的:てき}<br/>{意:い}{気:き}{込:ご}み
法	8	100	N3	grade 4	water 水 (氵, 氺)	厶 土 汁	method, law, rule, principle, model, system	のり	ホウ, ハッ, ホッ, フラン	{法の筵:のりのむしろ} preaching place<br/>{法面:のりめん} slope (e.g. of embankment)<br/>{内法:うちのり} inside measure<br/>{外法:そとのり} outside measurements	{法:ホウ} law, act, principle, method, mood, dharma<br/>{法案:ホウアン} bill (law), measure<br/>{航法:コウホウ} sailing, navigation<br/>{会社更生法:カイシャコウセイホウ} Corporate Rehabilitation Law<br/>{法被:ハッピ} happi coat, happy coat, workman's livery coat, traditional Japanese straight-sleeved coat<br/>{法度:ハット} law, ban, prohibition, ordinance<br/>{法師:ホウシ} Buddhist priest, bonze, layman dressed like a priest, person<br/>{法華経:ホケキョウ} Lotus Sutra	{法:ほう}<br/>{法:ほう}{律:りつ}<br/>{法:ほう}{則:そく}<br/>{法:ほう}{案:あん}<br/>{法:ほう}{廷:てい}<br/>{法:ほう}{学:がく}<br/>{法:ほう}{律:りつ}{事:じ}{務:む}{所:しょ}<br/>{法:ほう}{学:がく}{部:ぶ}<br/>{法:ほう}{王:おう}<br/>{法:ほう}{規:き}<br/>{法:ほう}{的:てき}<br/>{法:ほう}{令:れい}<br/>{法:ほう}{外:がい}<br/>{法:ほう}{話:わ}<br/>{法:ほう}{務:む}{大:だい}{臣:じん}<br/>{法:ほう}{務:む}{省:しょう}<br/>{法:ほう}{律:りつ}{違:い}{反:はん}
不	4	101	N4	grade 4	one 一	一 ｜ 丶 ノ	negative, non-, bad, ugly, clumsy		フ, ブ		{不:フ} un-, non-, negative prefix<br/>{不安:フアン} anxiety, uneasiness, worry, apprehension, fear, insecurity, suspense<br/>{意味不:イミフ} of uncertain meaning, ambiguous, cryptic, nonsensical, incomprehensible, perplexing<br/>{無:ブ} un-, non-, bad ..., poor ...<br/>{不気味:ブキミ} weird, ominous, eerie, uncanny, ghastly	{不:ふ}<br/>{不:ふ}{安:あん}<br/>{不味い:まず}<br/>{不:ふ}{便:べん}<br/>{不:ふ}{足:そく}<br/>{不:ふ}{思:し}{議:ぎ}<br/>{不:ふ}{幸:こう}<br/>{不:ふ}{自:じ}{由:ゆう}<br/>{不:ふ}{満:まん}<br/>{不:ふ}{利:り}<br/>{不:ふ}{正:せい}<br/>{不:ふ}{平:へい}<br/>{不:ふ}{運:うん}<br/>{不:ふ}{当:とう}<br/>{不:ふ}{通:つう}<br/>{不:ふ}{規:き}{則:そく}<br/>{不:ふ}{潔:けつ}
来	7	102	N5	grade 2	tree 木	｜ 二 亠 木 米	come, due, next, cause, become	く.る, きた.る, きた.す, き.たす, き.たる, き, こ	ライ, タイ	{来る:くる} to come (spatially or temporally), to approach, to arrive, to come back, to do ... and come back, to come to be, to become, to get, to grow, to continue, to come from, to be caused by, to derive from, to come to (i.e. "when it comes to spinach ...")<br/>{来る年:くるとし} the coming year<br/>{来る:きたる} next (e.g. "next April"), forthcoming, coming, to come, to arrive, to be due to<br/>{来るべき:きたるべき} expected to arrive (occur) in the near future<br/>{来す:きたす} to cause, to induce, to bring about a result or state, to produce<br/>{来す:きたす} to cause, to induce, to bring about a result or state, to produce<br/>{来る:きたる} next (e.g. "next April"), forthcoming, coming, to come, to arrive, to be due to<br/>{来るべき:きたるべき} expected to arrive (occur) in the near future<br/>{来合わせる:きあわせる} to happen to come along<br/>{来掛かる:きかかる} to happen to come<br/>{不出来:ふでき} bad job, poor workmanship, bungle<br/>{行ってき:いってき} bye, see ya (afterwards), have fun, get going, now<br/>{来い:こい} come!, imperative form of the verb "kuru" ("to come"), expressing a command or strong request<br/>{来し方:きしかた} the past	{来:ライ} next (year, etc.), since (last month, etc.)<br/>{来客:ライキャク} visitor, caller<br/>{在来:ザイライ} pre-existing, already there, conventional<br/>{再来:サイライ} return, coming back, second coming (e.g. of Christ), second advent, reincarnation	{来:らい}<br/>{来:らい}{週:しゅう}<br/>{来:らい}{年:ねん}<br/>{来:らい}{月:げつ}<br/>{来:らい}{日:にち}<br/>{来:く}る<br/>{来:らい}{世:せ}<br/>{来:らい}{客:きゃく}<br/>{来:らい}{春:しゅん}<br/>{来:らい}{訪:ほう}<br/>{来:らい}{店:てん}<br/>{来:らい}{航:こう}<br/>{来:らい}{場:じょう}<br/>{来週の今日:らいしゅうきょう}<br/>{来:きた}す<br/>{来:きた}るべき<br/>{来:く}る{日:ひ}も{来:く}る{日:ひ}も<br/>{来:らい}{訪:ほう}{者:しゃ}<br/>{来:らい}{社:しゃ}<br/>{来:き}{次:し}{第:だい}
作	7	103	N4	grade 2	man, human 人 (亻)	一 ｜ ノ 化 乞	make, production, prepare, build	つく.る, つく.り, -づく.り	サク, サ	{作る:つくる} to make, to produce, to manufacture, to build, to construct, to prepare (food), to brew (alcohol), to raise, to grow, to cultivate, to train, to till, to draw up (a document), to make out, to prepare, to write, to create (an artistic work, etc.), to compose, to coin (a phrase), to organize, to organise, to establish, to found, to have (a child), to make up (one's face, etc.), to fabricate (an excuse, etc.), to give a (false) appearance, to feign (a smile, etc.), to put on a show of emotion, to form (a line, etc.), to set (a record), to commit (a sin, etc.)<br/>{作り:つくり} making, producing, manufacturing, building, construction, make, structure, appearance (attire, make-up, etc.), build, physique, sashimi, forced (smile, etc.)<br/>{作り上げる:つくりあげる} to build up, to complete, to construct, to create, to put together, to make up, to fabricate, to invent, to cook up	{作:サク} work (e.g. of art), production, harvest, cultivation, farming, crop, yield, technique<br/>{作柄:サクガラ} crop conditions, quality (of art)<br/>{大作:タイサク} large-scale work, voluminous work, monumental work, great work, masterpiece<br/>{遺作:イサク} posthumous works<br/>{作:サク} work (e.g. of art), production, harvest, cultivation, farming, crop, yield, technique<br/>{作業:サギョウ} work, operation, manufacturing, fatigue duty<br/>{所作:ショサ} conduct, behaviour, movements, gesture, one's carriage, performance (on stage, etc.), dance, acting, dance (in kabuki), dance play<br/>{安定操作:アンテイソウサ} stabilizing (stock) transaction	{作:さく}<br/>{作:さく}{文:ぶん}<br/>{作:さっ}{家:か}<br/>{作:さく}{品:ひん}<br/>{作:さ}{業:ぎょう}<br/>{作:さっ}{曲:きょく}<br/>{作:つく}る<br/>{作:さく}{戦:せん}<br/>{作:さく}{物:もつ}<br/>{作:さ}{法:ほう}<br/>{作:さく}{成:せい}<br/>{作:さく}{者:しゃ}<br/>{作:さ}{用:よう}<br/>{作:さっ}{曲:きょく}{家:か}<br/>{作:さ}{動:どう}<br/>{作:つく}り<br/>{作:さく}{柄:がら}<br/>{作:さく}{付:づ}け<br/>{作:つく}り{上:あ}げる<br/>{作:つく}り{話:ばなし}
性	8	104	N3	grade 5	heart 心 (忄, ⺗)	忙 生	sex, gender, nature	さが	セイ, ショウ	{性:さが} one's nature, one's destiny, custom, tradition, habit, convention	{性:セイ} nature (of a person), sex, gender, -ty, -ity, -ness, -cy<br/>{性格:セイカク} character (of a person), personality, disposition, nature, characteristics, nature (of a thing, event, etc.)<br/>{耐性:タイセイ} resistance (e.g. to antibiotics), tolerance (e.g. drug tolerance)<br/>{社会性:シャカイセイ} sociality<br/>{性:ショウ} nature (of a person or thing), that which does not change according to external influences<br/>{性根:ショウネ} nature, character, disposition<br/>{冷え性:ヒエショウ} sensitivity to cold<br/>{凝り性:コリショウ} fastidiousness, enthusiasm for one thing, meticulousness, monomania, obsession, susceptibility for a stiffening of the shoulders	{性:せい}<br/>{性:さが}<br/>{性:しょう}<br/>{性:なりくせ}<br/>{性:せい}{別:べつ}<br/>{性:せい}{格:かく}<br/>{性:せい}{質:しつ}<br/>{性:せい}{能:のう}<br/>{性:せい}{欲:よく}<br/>{性:せい}{器:き}<br/>{性:せい}{的:てき}<br/>{性:せい}{急:きゅう}<br/>{性:しょう}{分:ぶん}<br/>{性:せい}{交:こう}<br/>{性:せい}{病:びょう}<br/>{性:せい}{癖:へき}<br/>{性:せい}{差:さ}{別:べつ}<br/>{性:せい}{行:こう}{為:い}
的	8	105		grade 4	white 白	丶 勹 白	bull's eye, mark, target, object, adjective ending	まと	テキ	{的:まと} mark, target<br/>{的外れ:まとはずれ} off the mark, off base, misdirected, irrelevant<br/>{憧れの的:あこがれのまと} object of adoration, longing<br/>{小的:こまと} small mark, small target	{的:テキ} -ical, -ish, -ive, -al, -ic, -y, -like, kind of, sort of<br/>{的確:テキカク} precise, accurate, appropriate, exactly the right<br/>{公的:コウテキ} public, official<br/>{人為的:ジンイテキ} artificial, unnatural, human-caused (e.g. mistake, error, disaster), man-made	{的:てき}<br/>{的:まと}<br/>{的:てき}{確:かく}<br/>{的:てき}{中:ちゅう}<br/>{的:まと}{外:はず}れ<br/>{的:てき}{屋:や}<br/>{的:まと}を{射:い}る<br/>{的:まと}を{絞:しぼ}る<br/>{的:まと}{鯛:うだい}<br/>{的:まと}{矢:や}<br/>{的:まと}{矢:や}かき<br/>{的:てき}{中:ちゅう}{率:りつ}<br/>{的:まと}{場:ば}<br/>{的:まと}{射:い}<br/>{的:まと}を{逸:そ}れる<br/>{的:まと}を{当:あ}てる<br/>{的:まと}に{達:たっ}しない<br/>{的:まと}を{得:え}る<br/>{的川 (小惑星):}
要	9	106	N3	grade 4	west 西 (襾, 覀)	女 西	need, main point, essence, pivot, key to	い.る, かなめ	ヨウ	{要る:いる} to be needed, to be wanted<br/>{要:かなめ} pivot, vital point, cornerstone, keystone, Japanese photinia<br/>{要石:かなめいし} keystone	{要:ヨウ} cornerstone, main point, keystone, requirement, need, necessary, required<br/>{要因:ヨウイン} main cause, primary factor<br/>{所要:ショヨウ} required, needed, necessary<br/>{法要:ホウヨウ} Buddhist memorial service	{要:かなめ}<br/>{要:よう}<br/>{要:い}る<br/>{要:よう}{求:きゅう}<br/>{要:よう}{素:そ}<br/>{要:よう}するに<br/>{要:よう}{点:てん}<br/>{要:よう}{領:りょう}<br/>{要:よう}{旨:し}<br/>{要:よう}する<br/>{要:よう}{請:せい}<br/>{要:よう}{因:いん}<br/>{要:よう}{望:ぼう}<br/>{要:よう}{人:じん}<br/>{要:よう}{塞:さい}<br/>{要:よう}は<br/>{要:よう}{職:しょく}<br/>{要:よう}{約:やく}<br/>{要:よう}{注:ちゅう}{意:い}
用	5	107	N4	grade 2	use 用 (甩)	用	utilize, business, service, use, employ	もち.いる	ヨウ	{用いる:もちいる} to use, to make use of, to utilize, to utilise	{用:ヨウ} business, task, errand, engagement, use, purpose, for the use of ..., used for ..., made for ..., call of nature, excretion<br/>{用意:ヨウイ} preparation, arrangements, provision, getting ready, laying out (e.g. a meal)<br/>{登用:トウヨウ} appointment, assignment, promotion<br/>{効用:コウヨウ} use, utility, effect, benefit	{用:よう}<br/>{用:よう}{意:い}<br/>{用:よう}{事:じ}<br/>{用:もち}いる<br/>{用:よう}{心:じん}<br/>{用:よう}{語:ご}<br/>{用:よう}{途:と}<br/>{用:よう}{紙:し}<br/>{用:よう}{品:ひん}<br/>{用:よう}{件:けん}<br/>{用:よう}{法:ほう}<br/>{用:よう}{地:ち}<br/>{用:よう}{具:ぐ}<br/>{用:よう}{心:じん}{深:ぶか}い<br/>{用:よう}{例:れい}<br/>{用:よう}{立:だ}てる<br/>{用:よう}{向:む}き<br/>{用:よう}{意:い}{周:しゅう}{到:とう}<br/>{用:よ}{済:うず}み<br/>{用:よう}{心:じん}{棒:ぼう}
制	8	108	N3	grade 5	knife, sword 刀 (刂)	ノ 二 刈 巾 牛	system, law, rule		セイ		{制:セイ} system, organization, organisation, imperial command, laws, regulation, control, government, suppression, restraint, holding back, establishment<br/>{制圧:セイアツ} gaining total control (of people or counties), suppression, oppression, control, mastery, ascendancy, supremacy<br/>{天皇制:テンノウセイ} the Emperor System<br/>{帝政:テイセイ} imperial government, imperialism, monarchical rule	{制:せい}<br/>{制:せい}{度:ど}<br/>{制:せい}{服:ふく}<br/>{制:せい}{限:げん}<br/>{制:せい}{作:さく}<br/>{制:せい}する<br/>{制:せい}{裁:さい}<br/>{制:せい}{定:てい}<br/>{制:せい}{約:やく}<br/>{制:せい}{御:ぎょ}<br/>{制:せい}{圧:あつ}<br/>{制:せい}{止:し}<br/>{制:せい}{限:げん}{速:そく}{度:ど}<br/>{制:せい}{空:くう}{権:けん}<br/>{制:せい}{球:きゅう}<br/>{制:せい}{覇:は}<br/>{制:せい}{動:どう}<br/>{制:せい}{海:かい}{権:けん}<br/>{制:せい}{震:しん}<br/>{制:せい}{動:どう}{放:ほう}{射:しゃ}
治	8	109	N3	grade 4	water 水 (氵, 氺)	厶 口 汁	reign, be at peace, calm down, subdue, quell, govt, cure, heal, rule, conserve	おさ.める, おさ.まる, なお.る, なお.す	ジ, チ	{治める:おさめる} to govern, to manage, to subdue<br/>{治まる:おさまる} to die down (storm, anger, conflict, etc.), to calm down, to cool off, to abate, to be settled, to be brought under control, to be at peace, to be governed well, to subside (of pain, symptoms, etc.), to be alleviated, to get better, to ease off<br/>{治る:なおる} to be cured, to get well, to be healed, to get mended, to be repaired, to be fixed<br/>{治す:なおす} to cure, to heal, to fix, to correct, to repair, to do over again, to replace, to put back as it was, to convert (into a different state), to transform	{治療:チリョウ} medical treatment, cure<br/>{治安:ジアン} Jian era (1021.2.2-1024.7.13)<br/>{完治:カンチ} complete recovery<br/>{政党政治:セイトウセイジ} party politics<br/>{治験:チケン} clinical trial<br/>{治安:チアン} public order<br/>{完治:カンチ} complete recovery<br/>{地方自治:チホウジチ} local (governmental) autonomy	{治:ち}<br/>{治:ち}{療:りょう}<br/>{治:なお}す<br/>{治:なお}る<br/>{治:おさ}める<br/>{治:おさ}まる<br/>{治:ち}{癒:ゆ}<br/>{治:ち}{安:あん}<br/>{治:ち}{療:りょう}{法:ほう}<br/>{治:ち}{療:りょう}{費:ひ}<br/>{治:ち}{世:せい}<br/>{治:ち}{験:けん}<br/>{治:ち}{外:がい}{法:ほう}{権:けん}<br/>{治:ち}{水:すい}<br/>{治:なお}り<br/>{治:ち}{山:さん}<br/>{治:じ}{暦:りゃく}<br/>{治:ち}{安:あん}{維:い}{持:じ}{法:ほう}
度	9	110	N4	grade 3	house on cliff 广	一 凵 又 广	degrees, occurrence, time, counter for occurrences, consider, attitude	たび, -た.い	ド, ト, タク	{度:たび} time (three times, each time, etc.), times<br/>{度数:どすう} frequency, number of times, incidence, degree (e.g. temperature), strength (e.g. alcohol, lens, etc.)<br/>{千度:せんど} thousand times<br/>{その度:そのたび} each time	{度:ド} degree (angle, temperature, scale, etc.), counter for occurrences, strength (of glasses), glasses prescription, alcohol content (percentage), alcohol by volume, extent, degree, limit, presence of mind, composure<br/>{度合い:ドアイ} degree, extent<br/>{重度:ジュウド} severe (injury, handicap, etc.), serious<br/>{濃度:ノウド} concentration, thickness, density, cardinality<br/>{法度:ハット} law, ban, prohibition, ordinance<br/>{ご法度:ゴハット} contraband, taboo, strictly forbidden<br/>{臆度:オクタク} guessing, speculation, supposition, hypothesis<br/>{老い支度:オイジタク} preparation for retirement, preparation for old age	{度:ど}<br/>{度:たび}<br/>{度:たび}{々:たび}<br/>{度:ど}{胸:きょう}<br/>{度:ど}{数:すう}<br/>{度:たび}に<br/>{度:たび}{重:かさ}なる<br/>{度:ど}{外:がい}{視:し}<br/>{度:たび}ごと<br/>{度:ど}{目:め}<br/>{度:ど}{合:あ}い<br/>{度:ど}{量:りょう}<br/>{度:ど}を{越:こ}した<br/>{度:ど}を{越:こ}す<br/>{度:ど}{胸:きょう}を{据:す}える<br/>{度:ど}を{過:す}ごす<br/>{度:ど}{量:りょう}{衡:こう}
務	11	111	N3	grade 5	power, force 力	力 夂 矛	task, duties	つと.める	ム	{勤める:つとめる} to work (for), to be employed (at), to serve (in), to serve (as), to act (as), to fill (the position of), to play the role (of), to conduct a religious service	{務所:ムショ} prison<br/>{ムショ上がり:ムショアガリ} former prisoner<br/>{政務:セイム} government affairs<br/>{外務:ガイム} foreign affairs	{務:む}{所:しょ}{送:おく}り<br/>{務:む}{所:しょ}<br/>{務:む}{長:ちょう}{官:かん}<br/>{務川コーラオ族ミャオ族自治県:}
強	11	112	N4	grade 2	bow 弓	厶 弓 虫	strong	つよ.い, つよ.まる, つよ.める, し.いる, こわ.い	キョウ, ゴウ	{強い:つよい} strong, potent, competent, domineering, tough, strong, brawny, powerful, healthy, rugged, good (at), skilled, knowledgeable, being able to handle, know how to deal (with), durable (against), resistant (to), resilient, firm, rigid, solid, intense, strong, fierce, high, dependable, trustworthy<br/>{強い心:つよいこころ} stout heart, strong mind<br/>{強まる:つよまる} to get strong, to gain strength<br/>{強める:つよめる} to strengthen, to emphasize, to emphasise<br/>{強いる:しいる} to force, to compel, to coerce, to press, to impose<br/>{強い:こわい} tough, stiff, hard, inflexible, obstinate, stubborn<br/>{強飯:こわめし} glutinous rice with red beans (eaten on celebratory occasions), mochi rice with red beans	{強:キョウ} a little over, a little more than, powerhouse, one of the biggest, one of the most powerful<br/>{強化:キョウカ} strengthening, intensifying, reinforcement, enhancement, solidification<br/>{列強:レッキョウ} major powers of the world, great powers<br/>{屈強:クッキョウ} robust, brawny, muscular, strong, sturdy<br/>{強盗:ゴウトウ} robber, mugger, robbery, burglary<br/>{強引:ゴウイン} overbearing, coercive, pushy, forcible, high-handed	{強:きょう}<br/>{強:ごう}{盗:とう}<br/>{強:つよ}い<br/>{強:きょう}{化:か}<br/>{強:きょう}{制:せい}<br/>{強:きょう}{力:りょく}<br/>{強:きょう}{調:ちょう}<br/>{強:ごう}{引:いん}<br/>{強:つよ}{気:き}<br/>{強:きょう}{烈:れつ}<br/>{強:つよ}める<br/>{強:きょう}{硬:こう}<br/>{強:し}いる<br/>{強請る:ねだ}<br/>{強:つよ}まる<br/>{強:きょう}{風:ふう}<br/>{強:つよ}み<br/>{強:きょう}{要:よう}<br/>{強:きょう}{固:こ}
